#meta+id,#meta+url,#item+id,#vocab+regex+alt,#meta+exemplum,
ISO3166-1Alpha-2,https://www.iso.org/obp/ui/#search,{[ISO3166-1]Alpha-2},urn:data:xz:eticaai:ontologia:codicem:locum?=|$(hxlcut --include=country+code+v_iso2),"AO, BR, MZ",
ISO3166-1Alpha-3,https://www.iso.org/obp/ui/#search,{[ISO3166-1]Alpha-3},urn:data:xz:eticaai:ontologia:codicem:locum?=|$(hxlcut --include=country+code+v_iso3),"AGO, BRA, MOZ",
ISO3166-1Numeric,https://www.iso.org/obp/ui/#search,{[ISO3166-1]Numeric},urn:data:xz:eticaai:ontologia:codicem:locum?=|$(hxlcut --include=country+code+num+v_m49),"024, 076, 508",
ISO3166-1,https://www.iso.org/obp/ui/#search,{[ISO3166-1]},"urn:data:xz:eticaai:ontologia:codicem:locum?=|$(hxlcut --include=country+code+v_iso2,country+code+v_iso3,country+code+num+v_m49)","024, AO, AGO, 076, BR, BRA, 508, MZ, MOZ",
UNM49,https://en.wikipedia.org/wiki/UN_M49,{[UNM49]},urn:data:xz:eticaai:ontologia:codicem:locum?=|$(hxlcut --include=code+num+v_m49),"024, 076, 508",
ISO3166-1Emoji,https://emojipedia.org/flags/,{[ISO3166-1]Emoji},,"ðŸ‡¦ðŸ‡´, ðŸ‡§ðŸ‡·, ðŸ‡²ðŸ‡¿",
ISO15924Special,https://en.wikipedia.org/wiki/ISO_15924,{[ISO15924]Special},urn:data:xz:eticaai:ontologia:codicem:scriptum?=|$(hxlcut --include=vocab+code+v_iso15924+text),"Arab, Cyrl, Hans, Hant, Latn",
ISO15924Numeric,https://en.wikipedia.org/wiki/ISO_15924,{[ISO15924]Numeric},urn:data:xz:eticaai:ontologia:codicem:scriptum?=|$(hxlcut --include=vocab+code+v_iso15924+number),"160, 220, 501, 502, 215",
ISO15924,https://en.wikipedia.org/wiki/ISO_15924,{[ISO15924]},"urn:data:xz:eticaai:ontologia:codicem:scriptum?=|$(hxlcut --include=vocab+code+v_iso15924+text,vocab+code+v_iso15924+number)","Arab, 160, Cyrl, 220, Hans, 501, Hant, 502, Latn, 215",
